BasicUser(name='pudz1an', score=10)
BasicUser(name='kadzitas', score=10)
BasicUser(name='Sinduril', score=10)
BasicUser(name='moncyn', score=10)
BasicUser(name='Shazam_', score=4)
BasicUser(name='Jemiide', score=3)
BasicUser(name='Projak', score=4)
BasicUser(name='alienskuad', score=0)
BasicUser(name='SJPFTW', score=4)
BasicUser(name='Thedude94', score=3)
BasicUser(name='Festadurador', score=3)
BasicUser(name='ElrondHubbard', score=4)
BasicUser(name='Naif4Real', score=10)
BasicUser(name='trotzku2323', score=4)
BasicUser(name='signor_tomato', score=4)
BasicUser(name='scabior1359', score=3)
BasicUser(name='Skyesp', score=2)
BasicUser(name='JuicyTeeth', score=2)
BasicUser(name='Kurosu', score=0)
BasicUser(name='limmd53', score=0)
BasicUser(name='aamike68', score=3)
BasicUser(name='Wastelands', score=0)
BasicUser(name='Smoke_Clears', score=1)
BasicUser(name='Ivesyeon', score=0)
BasicUser(name='Npcparan4', score=0)
BasicUser(name='Caramelo', score=0)
BasicUser(name='Satuprinssi', score=2)
BasicUser(name='GamerSteampson', score=0)
BasicUser(name='EpochAstartes', score=0)
BasicUser(name='ffff2', score=4)
BasicUser(name='Its_over_', score=3)
BasicUser(name='CHADren', score=0)
BasicUser(name='SewerGator', score=2)
BasicUser(name='Uma77', score=1)
BasicUser(name='HurDur1337', score=4)
BasicUser(name='ChasingCars', score=1)
BasicUser(name='sfaselin', score=1)
BasicUser(name='TOKYO_GHOUL_R', score=2)
BasicUser(name='AweZ', score=0)
BasicUser(name='MarkAurel121', score=0)
BasicUser(name='PanPrado30', score=1)
BasicUser(name='ladykagami', score=0)
BasicUser(name='shayed__', score=4)
BasicUser(name='IronWood', score=0)
BasicUser(name='Fowell', score=0)
BasicUser(name='solidius47', score=4)
BasicUser(name='ar1urius', score=0)
BasicUser(name='Eliellds', score=0)
BasicUser(name='Xlebyshek', score=0)
BasicUser(name='Gabriele866', score=1)
BasicUser(name='TryHarder99', score=0)
BasicUser(name='kevdawg45645645', score=3)
BasicUser(name='Kubik88', score=0)
BasicUser(name='exnesteroff', score=0)
BasicUser(name='Emilated', score=0)
BasicUser(name='hfur', score=1)
BasicUser(name='Bencg96', score=0)
BasicUser(name='Theycallmeflynn', score=4)
BasicUser(name='RandalThor', score=0)
BasicUser(name='nowaylol', score=1)
BasicUser(name='Kuartz', score=0)
BasicUser(name='Nowayback_', score=1)
BasicUser(name='Quatox', score=2)
BasicUser(name='jdh5153', score=1)
